termo_de_busca,titulo_produto,preco,link
cartucho compatível hp,Cartucho Yellow 711xl 711 Para Plotter T130 T530 711 30 Ml,46.90,https://www.mercadolivre.com.br/cartucho-yellow-711xl-711-para-plotter-t130-t530-711-30-ml/p/MLB38222892\#polycard_client=search-nordic&searchVariation=MLB38222892&wid=MLB4902835236&position=33&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit Cartucho Hp 662 Preto + 662 Colorido,158,https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-662-colorido/p/MLB41793981\#polycard_client=search-nordic&searchVariation=MLB41793981&wid=MLB5247680188&position=21&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho De Tinta Hp Tricolor 667,60.45,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162\#polycard_client=search-nordic&searchVariation=MLB36752162&wid=MLB4032333523&position=23&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho De Tinta Compativel Hp 93 Color,76.90,https://produto.mercadolivre.com.br/MLB-4233184546-cartucho-de-tinta-compativel-hp-93-color-_JM?searchVariation=180787794283\#polycard_client=search-nordic&searchVariation=180787794283&position=47&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3
cartucho compatível hp,Kit 2 Cartucho Compatível Com Hp 27 E 28 C8727ab C8728ab P/c,169.90,https://produto.mercadolivre.com.br/MLB-3925253697-kit-2-cartucho-compativel-com-hp-27-e-28-c8727ab-c8728ab-pc-_JM\#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB3925253697&sid=search
cartucho compatível hp,Kit Compatível P/ Hp Deskjet F4180 21 22 D2460 Psc 1410 300,139.90,https://produto.mercadolivre.com.br/MLB-3701840861-kit-compativel-p-hp-deskjet-f4180-21-22-d2460-psc-1410-300-_JM\#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB3701840861&sid=search
cartucho compatível hp,Cartucho Compatível Com Hp 60xl C644wb Color,78.09,https://produto.mercadolivre.com.br/MLB-1794536354-cartucho-compativel-com-hp-60xl-c644wb-color-_JM\#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB1794536354&sid=search
cartucho compatível hp,Cartucho Hp 72 Photo Black Preto Fotográfico C9370a,538.80,https://www.mercadolivre.com.br/cartucho-hp-72-photo-black-preto-fotografico-c9370a/p/MLB41320085\#polycard_client=search-nordic&searchVariation=MLB41320085&wid=MLB4017218375&position=30&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho de Tinta HP 60B Preto Simples CC636WB 4ml,109,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-60b-preto-simples-cc636wb-4ml/p/MLB24125481\#polycard_client=search-nordic&searchVariation=MLB24125481&wid=MLB4678626640&position=35&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit 2 Cartucho Compatível Com Hp 901xl Cmyk \| J4540/ J4550,179.90,https://www.mercadolivre.com.br/kit-2-cartucho-compativel-com-hp-901xl-cmyk-j4540-j4550/p/MLB37755176\#polycard_client=search-nordic&searchVariation=MLB37755176&wid=MLB3746126661&position=29&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Tinta Compatível Microjet Para 61xl,107.89,https://www.mercadolivre.com.br/cartucho-tinta-compativel-microjet-para-61xl/p/MLB38449044\#polycard_client=search-nordic&searchVariation=MLB38449044&wid=MLB3784700427&position=28&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartuchos Para Impressora 2136/2676 664xl Hp Black+color,267.70,https://www.mercadolivre.com.br/cartuchos-para-impressora-21362676-664xl-hp-blackcolor/p/MLB24123269\#polycard_client=search-nordic&searchVariation=MLB24123269&wid=MLB3891250431&position=34&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Tinta Compatível Katun Hp 970 X476 X476 X451 Preto,234.80,https://www.mercadolivre.com.br/cartucho-tinta-compativel-katun-hp-970-x476-x476-x451-preto/p/MLB37965961\#polycard_client=search-nordic&searchVariation=MLB37965961&wid=MLB3764088319&position=18&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Compatível Com Hp 82 C4912a Magenta,78.90,https://www.mercadolivre.com.br/cartucho-compativel-com-hp-82-c4912a-magenta/p/MLB21965682\#polycard_client=search-nordic&searchVariation=MLB21965682&wid=MLB5326323538&position=24&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit Cartucho De Tinta Compativel Hp 662xl Black E Color,199.90,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-compativel-hp-662xl-black-e-color/p/MLB37718508\#polycard_client=search-nordic&searchVariation=MLB37718508&wid=MLB4806302934&position=20&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
